artist_name,track_name,key,mode,tempo,music_genre
Black Grape,A Big Day In The North,F,Minor,101.241,Electronic
Ray Charles,A Bit of Soul - 2005 Remaster,G,Major,142.312,Blues
N.W.A.,A Bitch Iz A Bitch,E,Major,97.176,Hip-Hop
Allen Toussaint,A Blue Mood,C,Major,97.865,Blues
The White Stripes,A Boy's Best Friend,D#,Major,74.433,Blues
Martina McBride,A Broken Wing,B,Major,66.624,Country
Gramatik,A Bunch of Questions,G,Minor,168.364,Electronic
Frankie Ballard,A Buncha Girls,G,Major,120.891,Country
Moby,A Case For Shame - feat. Cold Specks,C,Major,143.719,Electronic
Haken,A Cell Divides,D#,Minor,139.727,Jazz
Sam Cooke,A Change Is Gonna Come,A#,Major,169.555,Rock
The Beatles,A Day In The Life - Remastered 2009,E,Minor,163.219,Rock
Pet Symmetry,A Detailed and Poetic Physical Threat to the Person Who Intentionally Vandalized My 1994 Dodge Intrepid Behind Kate's Apartment,C#,Minor,145.055,Alternative
Current Joys,A Different Age,D,Major,143.935,Rock
DJ Snake,A Different Way - Kayzo Remix,C#,Major,145.035,Electronic
Champagne Drip,A Different World,A,Minor,128.088,Electronic
Bucky Covington,A Different World,A,Major,128.968,Country
The Killers,A Dustland Fairytale,D,Major,134.37,Rock
Coheed and Cambria,A Favor House Atlantic,E,Major,166.475,Alternative
Coheed and Cambria,A Favor House Atlantic,E,Major,166.475,Rock
Ella Fitzgerald,A Fine Romance,G,Minor,173.109,Jazz
Dead Moon,A Fix on You,A#,Major,153.715,Blues
Christian Löffler,A Forest,C,Major,123.995,Electronic
The Cure,A Forest - Remastered Version,C,Major,81.117,Rock
$uicideBoy$,A Girl Named Drool And A Pack of Kools,F,Minor,127.979,Hip-Hop
Clint Black,A Good Run of Bad Luck,A,Major,80.057,Country
empty_field,A Guide for I & I,E,Minor,111.978,Electronic
Count Basie,A Hard Day's Night,G#,Major,136.506,Jazz
Tony Bennett,A Kiss to Build a Dream On,C#,Major,86.839,Jazz
Howard Shore,A Knife in the Dark,A#,Major,75.039,Classical
Linkin Park,A LIGHT THAT NEVER COMES,C,Major,115,Rap
FloFilz,A Lil Bit Of,G,Major,81.172,Jazz
Margo Price,A Little Pain - Recorded at Sound Stage Nashville,E,Major,170.915,Country
Luke Combs,A Long Way,D,Major,161.905,Country
Thompson Square,A Love Like This,C#,Major,125.992,Country
Thompson Square,A Love Like This,C#,Major,125.992,Rock
frumhere,a lover's wishlist,F#,Major,86.819,Rap
Rodney Atkins,A Man On A Tractor,F,Major,128.16,Country
Eric Church,A Man Who Was Gonna Die Young,B,Major,144.077,Country
The White Stripes,A Martyr For My Love For You,E,Minor,84.036,Blues
Benjamin Britten,"A Midsummer Night's Dream / Act 2: A Midsummer Night's Dream, Act 2: ""On The Ground, Sleep Sound""",F,Minor,173.507,Classical
Time Machine,A Million and One Things To Do - Instrumental,B,Minor,93.905,Jazz
Rory Gallagher,A Million Miles Away,D,Minor,135.805,Blues
T-Pain,A Million Times (feat. O.T. Genasis),G,Minor,96.061,Rap
T-Pain,A Million Times (feat. O.T. Genasis),G,Minor,96.061,Hip-Hop
Little Dragon,A New,E,Major,172.85,Electronic
Philip Glass,A New Generation,G,Minor,184.266,Classical
The Marshall Tucker Band,A New Life,G,Major,159.336,Blues
JJ Grey & Mofro,A Night To Remember,C,Major,112.435,Blues
Jóhann Jóhannsson,A Pile Of Dust,G#,Major,81.056,Classical
Makaya McCraven,A Queen's Intro,G#,Major,163.246,Jazz
empty_field,A Quiet Life,E,Minor,70.969,Jazz
Weather Report,A Remark You Made,G#,Major,104.527,Jazz
Billie Holiday,A Sailboat In the Moonlight,G,Major,120.414,Blues
Johnny Hartman,A Slow Hot Wind,A#,Minor,93.024,Jazz
Gustav Holst,"A Somerset Rhapsody, Op. 21, No. 2",B,Minor,98.089,Classical
Maren Morris,A Song for Everything,C#,Major,100.038,Country
Jethro Tull,A Song For Jeffrey - Original Mono Mix,C,Major,93.431,Rock
Jóhann Jóhannsson,A Spacetime Singularity,G#,Major,69.082,Classical
Jóhann Jóhannsson,A Sparrow Alighted Upon Our Shoulder,F#,Minor,139.128,Classical
Flatbush Zombies,A Spike Lee Joint (feat. Anthony Flammia),F#,Major,105.639,Rap
Flatbush Zombies,A Spike Lee Joint (feat. Anthony Flammia),F#,Major,105.639,Hip-Hop
Ólafur Arnalds,A Stutter,F,Minor,108.211,Classical
Etta James,A Sunday Kind Of Love,D,Minor,81.416,Jazz
Metronomy,A Thing For Me,G,Major,74.977,Electronic
Chris Botti,A Thousand Kisses Deep,F,Minor,72.937,Jazz
Art Of Noise,A Time For The Fear (Who's Afraid),A,Minor,100.613,Electronic
Nicholas Payton,A Touch Of Silver,G,Major,128.346,Jazz
empty_field,A Violent Sky,A#,Major,97.382,Electronic
The Kinks,A Well Respected Man,E,Minor,162.154,Rock
Procol Harum,A Whiter Shade of Pale - Original Single Version,C,Major,149.813,Rock
Otis Redding,"A Woman, a Lover, a Friend",A#,Major,176.486,Blues
Wax Tailor,A Woman's Voice,C,Major,139.787,Electronic
empty_field,A Woman's Worth,E,Minor,137.773,Jazz
A$AP Rocky,A$AP Forever REMIX,A#,Minor,62.839,Hip-Hop
Stjepan Hauser,A.Dvorak: Song To The Moon (Rusalka),F#,Major,83.156,Classical
Grandaddy,A.M. 180,F,Major,88.166,Alternative
Oliver Francis,Aahhyeahh,D#,Major,144.983,Rap
Dr. Dog,Abandoned Mansion,A,Major,123.676,Rock
empty_field,"Abdelazer, Z.570: 2. Rondeau",C#,Minor,97.686,Classical
Cage The Elephant,Aberdeen,G,Major,205.467,Blues
Phazz,About Her,F,Minor,123.037,Jazz
Alex Isley,About Him,C#,Minor,83.113,Alternative
Rodney Atkins,About The South,G#,Major,138.922,Country
empty_field,About to Begin - 2007 Remaster,B,Minor,86.546,Blues
Buck Owens,Above And Beyond,G#,Major,147.601,Country
Gang Starr,Above The Clouds,G#,Major,172.33,Alternative
Agustín Barrios Mangoré,Abrí la puerta mi china,A,Major,129.928,Classical
Lil Peep,Absolute in Doubt,E,Minor,138.034,Rap
Lil Peep,Absolute in Doubt,E,Minor,138.034,Hip-Hop
Parkway Drive,Absolute Power,F#,Major,155.095,Alternative
Stone Sour,Absolute Zero,C#,Minor,139.941,Alternative
empty_field,Absolutely,B,Major,102.016,Rock
New Order,Academic,A#,Minor,136.034,Electronic
Ella Fitzgerald,Ace In The Hole,G,Major,163.263,Blues
El Gran Combo De Puerto Rico,Achilipú,F,Minor,89.916,Jazz
Ray Barretto,Acid,C,Major,157.626,Jazz
Liquid Tension Experiment,Acid Rain,A,Major,145.014,Jazz
empty_field,Acrid Avid Jam Shred,D#,Major,80.928,Electronic
Ry Cooder,Across the Borderline,D,Major,94.238,Blues
The Band,Across The Great Divide - Remastered,G,Major,110.834,Blues
Ludacris,Act A Fool,C,Major,109.331,Hip-Hop
Tyga,Act Ghetto,C#,Major,85.988,Rap
K CAMP,Actin Up,G,Minor,114.931,Hip-Hop
Junkie XL,Action Radius,D,Major,172.016,Electronic
Tee Grizzley,Activated,C#,Minor,160.115,Rap
Tee Grizzley,Activated,C#,Minor,160.115,Hip-Hop
Robert Schumann,"Adagio And Allegro In A Flat Major, Op. 70: 1. Langsam, mit innigem Ausdruck",G#,Major,84.478,Classical
London Philharmonic Orchestra,"Adagio for Strings, Op. 11a",A#,Minor,77.736,Classical
Eugene Ormandy,"Adagio for Strings, Op.11",A#,Minor,85.613,Classical
Wolfgang Amadeus Mozart,"Adagio In B Minor, K.540",B,Minor,173.912,Classical
